DateTime,Price
2024-09-16 15:46:00,2289.0365332
2024-09-16 15:46:01,2289.22840394
2024-09-16 15:46:02,2289.12896711
2024-09-16 15:46:03,2289.16452405
2024-09-16 15:46:04,2288.98978889
2024-09-16 15:46:05,2288.98750049
2024-09-16 15:46:06,2288.8738005
2024-09-16 15:46:07,2288.85996788
2024-09-16 15:46:08,2288.86896034
2024-09-16 15:46:09,2288.76454796
2024-09-16 15:46:10,2288.38376154
2024-09-16 15:46:11,2288.39250955
2024-09-16 15:46:12,2288.3
2024-09-16 15:46:13,2288.10494186
2024-09-16 15:46:14,2288.03811915
2024-09-16 15:46:15,2287.93576665
2024-09-16 15:46:16,2287.92705913
2024-09-16 15:46:17,2287.99911669
2024-09-16 15:46:18,2288.13978077
2024-09-16 15:46:19,2287.99590654
2024-09-16 15:46:20,2288.17677873
2024-09-16 15:46:21,2288.28505838
2024-09-16 15:46:22,2288.375
2024-09-16 15:46:23,2288.385
2024-09-16 15:46:24,2288.44203052
2024-09-16 15:46:25,2288.545
2024-09-16 15:46:26,2288.545
2024-09-16 15:46:27,2288.4701204
2024-09-16 15:46:28,2288.48919295
2024-09-16 15:46:29,2288.49269039
2024-09-16 15:46:30,2288.3324094
2024-09-16 15:46:31,2288.38358201
2024-09-16 15:46:32,2288.39110038
2024-09-16 15:46:33,2288.430003
2024-09-16 15:46:34,2288.54940224
2024-09-16 15:46:35,2288.90591171
2024-09-16 15:46:36,2289.12345529
2024-09-16 15:46:37,2289.32790456
2024-09-16 15:46:38,2289.67943414
2024-09-16 15:46:39,2289.74050259
2024-09-16 15:46:40,2289.9244316
2024-09-16 15:46:41,2290.025
2024-09-16 15:46:42,2289.92891825
2024-09-16 15:46:43,2289.93622282
2024-09-16 15:46:44,2289.84162635
2024-09-16 15:46:45,2289.79887232
2024-09-16 15:46:46,2289.82717487
2024-09-16 15:46:47,2289.81823947
2024-09-16 15:46:48,2289.81744986
2024-09-16 15:46:49,2289.81717266
2024-09-16 15:46:50,2289.81323805
2024-09-16 15:46:51,2289.83193997
2024-09-16 15:46:52,2289.7778752
2024-09-16 15:46:53,2289.7253651
2024-09-16 15:46:54,2289.8163065
2024-09-16 15:46:55,2289.79690533
2024-09-16 15:46:56,2289.70179172
2024-09-16 15:46:57,2289.70182013
2024-09-16 15:46:58,2289.60000252
2024-09-16 15:46:59,2289.69848569
2024-09-16 15:47:00,2289.52139475
2024-09-16 15:45:00,2289.20056226
2024-09-16 15:45:01,2289.24549833
2024-09-16 15:45:02,2289.35500576
2024-09-16 15:45:03,2289.24430572
2024-09-16 15:45:04,2289.3310839
2024-09-16 15:45:05,2289.27905252
2024-09-16 15:45:06,2288.991307
2024-09-16 15:45:07,2289.10449894
2024-09-16 15:45:08,2289.14140443
2024-09-16 15:45:09,2289.14140443
2024-09-16 15:45:10,2289.11053694
2024-09-16 15:45:11,2289.11177043
2024-09-16 15:45:12,2289.10524545
2024-09-16 15:45:13,2289.12586974
2024-09-16 15:45:14,2289.17578109
2024-09-16 15:45:15,2289.23398679
2024-09-16 15:45:16,2289.19908756
2024-09-16 15:45:17,2289.3862716
2024-09-16 15:45:18,2289.36116682
2024-09-16 15:45:19,2289.44250049
2024-09-16 15:45:20,2289.47290305
2024-09-16 15:45:21,2289.55200686
2024-09-16 15:45:22,2289.65776539
2024-09-16 15:45:23,2289.7175005
2024-09-16 15:45:24,2289.6213865
2024-09-16 15:45:25,2289.71
2024-09-16 15:45:26,2289.6289059
2024-09-16 15:45:27,2289.67513842
2024-09-16 15:45:28,2289.755
2024-09-16 15:45:29,2289.745
2024-09-16 15:45:30,2289.745
2024-09-16 15:45:31,2289.735
2024-09-16 15:45:32,2289.73364486
2024-09-16 15:45:33,2289.72698482
2024-09-16 15:45:34,2289.72495322
2024-09-16 15:45:35,2289.70083409
2024-09-16 15:45:36,2289.71139899
2024-09-16 15:45:37,2289.8807081
2024-09-16 15:45:38,2289.95751713
2024-09-16 15:45:39,2289.98614382
2024-09-16 15:45:40,2290.00613484
2024-09-16 15:45:41,2290.04
2024-09-16 15:45:42,2289.91928564
2024-09-16 15:45:43,2289.74809232
2024-09-16 15:45:44,2289.84815601
2024-09-16 15:45:45,2289.803908
2024-09-16 15:45:46,2289.63638447
2024-09-16 15:45:47,2289.41750049
2024-09-16 15:45:48,2289.36500299
2024-09-16 15:45:49,2289.32453227
2024-09-16 15:45:50,2289.24047054
2024-09-16 15:45:51,2289.17500299
2024-09-16 15:45:52,2289.25138744
2024-09-16 15:45:53,2289.05062116
2024-09-16 15:45:54,2288.90374121
2024-09-16 15:45:55,2288.9180043
2024-09-16 15:45:56,2288.93611038
2024-09-16 15:45:57,2288.9839847
2024-09-16 15:45:58,2288.9502185
2024-09-16 15:45:59,2288.93642517
2024-09-16 15:46:00,2289.0365332
2024-09-16 15:44:00,2289.57749177
2024-09-16 15:44:01,2289.49931986
2024-09-16 15:44:02,2289.50015151
2024-09-16 15:44:03,2289.57250725
2024-09-16 15:44:04,2289.4401611
2024-09-16 15:44:05,2289.40597186
2024-09-16 15:44:06,2289.2425005
2024-09-16 15:44:07,2289.03402978
2024-09-16 15:44:08,2289.0760323
2024-09-16 15:44:09,2289.03768236
2024-09-16 15:44:10,2288.98645211
2024-09-16 15:44:11,2288.85741816
2024-09-16 15:44:12,2289.09904649
2024-09-16 15:44:13,2289.00495897
2024-09-16 15:44:14,2289.08251729
2024-09-16 15:44:15,2289.22591765
2024-09-16 15:44:16,2289.06571935
